,Codigo_Pais_Cliente,Sigla_Pais_Cliente
,1010,AL
,2540,AL
,2530,AL
,4530,AL
,2020,AL
,2510,AL
,3010,AL
,4030,AL
,2550,AL
,2030,AL
,1510,AL
,4040,AL
,3010,AT
,5010,AT
,2540,AT
,1510,AT
,2030,AT
,2520,AT
,4520,AT
,3020,AT
,4030,AT
,2550,AT
,4010,AT
,4030,AZ
,4020,AZ
,2510,AZ
,2030,AZ
,4040,AZ
,2520,AZ
,1510,AZ
,2540,AZ
,4010,AZ
,2020,BH
,5510,BH
,3020,BH
,1010,BH
,2520,BH
,3510,BH
,4510,BH
,2550,BH
,4530,BH
,2510,BE
,2010,BE
,3520,BE
,4510,BE
,4520,BE
,4010,BE
,4030,BE
,5510,BE
,1510,BE
,2030,BE
,3520,US
,4510,US
,3510,US
,4520,US
,3010,US
,4020,US
,2030,US
,2020,US
,2550,US
,3020,US
,2520,US
,3030,BR
,2550,BR
,1510,BR
,2510,BR
,3010,BR
,4530,BR
,1010,BR
,3510,BR
,5010,BR
,4510,BR
,3020,BR
,4040,BR
,2510,BG
,3030,BG
,4010,BG
,3020,BG
,2520,BG
,3510,BG
,4520,BG
,1010,BG
,2020,BG
,4020,BG
,2010,BG
,2530,BG
,3520,BG
,5510,BG
,2030,CR
,1010,CR
,2530,CR
,4040,CR
,2550,CR
,3510,HR
,4040,HR
,1510,HR
,4530,HR
,4010,HR
,2530,HR
,4520,HR
,4510,HR
,3010,HR
,2550,HR
,2030,HR
,4020,CY
,2520,CY
,2020,CY
,4510,CY
,2010,CY
,2550,CY
,3520,CY
,1510,CY
,5010,CZ
,3010,CZ
,2530,CZ
,2540,CZ
,3520,CZ
,3020,CZ
,4510,CZ
,2510,CZ
,2030,CZ
,2520,CZ
,1010,CZ
,1510,CZ
,2030,DK
,5510,DK
,5010,DK
,2020,DK
,4020,DK
,4530,DK
,4030,DK
,3010,DO
,2520,DO
,4010,DO
,3520,DO
,4020,DO
,4520,DO
,2010,DO
,4040,DO
,3020,DO
,2540,DO
,3030,EE
,2520,EE
,3020,EE
,2010,EE
,2030,EE
,1510,EE
,5510,EE
,4520,EE
,4510,EE
,4530,EE
,1010,EE
,4020,FI
,4530,FI
,2520,FI
,2020,FR
,2530,FR
,3520,FR
,3010,FR
,3020,FR
,1010,FR
,5010,FR
,2550,FR
,4530,FR
,3510,FR
,4030,FR
,4010,FR
,2510,FR
,4510,FR
,5510,GE
,2520,GE
,3510,GE
,4530,GE
,2550,GE
,4030,GE
,4040,GE
,1010,GE
,5010,GE
,1010,DE
,3030,DE
,2010,DE
,3010,DE
,4040,DE
,4530,DE
,1510,DE
,4510,DE
,3510,DE
,2540,DE
,4030,DE
,3520,GI
,5010,GI
,3010,GI
,2520,GI
,4020,GI
,2020,GI
,3020,GI
,4530,GI
,1510,GI
,2510,GI
,2530,GI
,4510,GI
,2550,GI
,4520,GI
,4020,GR
,5510,GR
,4030,GR
,2030,GR
,4040,GR
,1010,GR
,3030,GR
,2540,GR
,1510,GR
,2520,GR
,2550,GR
,2530,GR
,1510,US
,4010,US
,2540,US
,1010,US
,2010,US
,3020,GT
,5510,GT
,2540,GT
,3510,GT
,4520,GT
,1510,GT
,3520,GT
,4510,GT
,1010,GT
,4040,GT
,1510,HU
